# IP	Distancia
52.101.127.86	162
52.104.48.24	323
52.108.16.84	399
52.118.173.64	501
52.119.200.110	337
52.126.72.47	286
52.131.65.35	319
52.133.93.237	375
52.134.91.102	346
52.143.219.26	581
52.172.238.132	276
52.184.78.187	354
52.186.227.72	442
52.189.124.245	241
52.193.18.136	310
52.196.135.138	410
52.203.82.81	300
52.203.98.2	223
52.208.125.235	390
52.209.117.76	412
52.214.202.59	439
52.229.120.153	417
52.231.22.197	374
53.14.185.127	463
53.19.60.148	276
53.37.32.76	337
53.37.221.72	389
53.45.158.201	202
53.64.173.27	354
53.69.193.71	182
53.69.197.111	294
53.71.2.73	304
53.77.60.176	510
53.88.30.80	415
53.88.176.109	305
53.89.177.169	299
53.95.50.69	368
53.95.230.129	422
53.102.195.190	349
53.103.155.130	354
53.110.157.142	544
53.111.3.83	275
53.125.71.254	561
53.152.116.157	444
53.163.249.229	610
53.172.125.59	322
53.174.183.188	412
53.174.229.92	120
53.177.119.234	302
53.185.83.82	343
53.193.185.77	443
53.198.233.139	360
53.201.80.8	603
53.209.35.83	528
53.212.240.143	147
53.215.68.244	381
53.220.163.6	358
53.224.104.123	282
53.231.32.49	701
53.233.64.214	359
53.240.183.48	430
53.245.150.14	336
53.253.148.136	362
53.254.199.248	443
54.2.65.42	314
54.14.171.224	425
54.17.202.61	244
54.31.163.201	394
54.42.199.40	338
54.48.137.174	323
54.57.59.5	349
54.59.229.153	367
54.61.15.142	309
54.68.125.5	350
54.68.137.98	249
54.91.129.217	348
54.92.84.223	330
54.93.62.14	457
54.94.204.204	338
54.95.5.221	222
54.102.171.114	438
54.106.29.180	309
54.115.232.158	523
54.118.195.96	295
54.120.42.141	380
54.127.7.73	332
54.132.119.63	230
54.136.98.110	449
54.138.197.39	387
54.141.159.172	11
54.145.161.25	431
54.146.135.170	325
54.148.26.87	311
54.154.108.212	272
54.155.196.75	334
54.157.30.180	298
54.168.228.14	324
54.174.60.67	428
54.174.149.156	357
54.187.183.75	280
54.188.137.59	180
54.190.119.36	282
54.190.222.13	376
54.193.175.45	352
54.196.46.31	323
54.197.143.216	261
54.219.235.198	345
54.220.120.105	232
54.229.74.73	349
54.229.118.81	388
54.232.171.95	253
54.238.179.39	384
54.243.20.11	254
54.244.1.197	311
54.245.69.246	342
55.10.55.23	232
55.13.112.187	305
55.19.31.226	309
55.25.28.238	338
55.31.18.172	353
55.38.42.192	345
55.38.198.113	341
55.40.32.245	329
55.42.146.48	274
55.43.95.192	249
55.46.56.1	206
55.46.76.153	375
55.50.204.13	274
55.55.15.9	401
55.59.81.249	347
55.68.36.28	333
55.70.49.248	155
55.75.177.35	345
55.76.125.201	319
55.81.199.174	582
55.91.24.48	493
55.94.42.166	493
55.109.214.88	315
55.111.113.206	357
55.113.60.26	445
55.116.182.59	609
55.121.168.43	504
55.127.203.210	295
55.127.211.190	62
55.128.37.75	372
55.132.78.65	364
55.134.227.81	382
55.136.97.237	299
55.139.182.119	414
55.140.12.237	395
55.140.212.250	309
55.140.217.36	364
55.142.92.96	391
55.144.253.149	390
55.151.159.169	476
55.154.98.34	398
55.156.90.172	342
55.156.169.219	251
55.159.169.223	565
55.160.18.212	387
55.163.127.141	302
55.163.176.172	344
55.167.143.170	385
55.170.3.201	361
55.170.50.59	260
55.178.4.57	266
55.180.230.70	302
55.183.191.10	196
55.192.32.63	530
55.194.5.46	208
55.198.3.213	553
55.200.89.248	393
55.203.72.253	355
55.207.137.195	367
55.209.233.232	320
55.224.20.98	191
55.228.224.133	411
55.231.29.1	228
55.235.218.41	395
55.239.215.221	389
55.254.126.3	292
56.5.83.111	406
56.5.190.240	334
56.9.78.125	321
56.11.100.159	338
56.15.203.204	411
56.18.12.162	417
56.30.221.184	339
56.30.224.71	396
56.45.138.192	498
56.47.156.45	331
56.51.239.97	309
56.56.47.50	397
56.57.99.17	394
56.58.18.68	397
56.63.140.63	243
56.72.145.73	247
56.76.155.65	316
56.80.210.85	195
56.81.222.248	420
56.87.250.2	369
56.102.118.111	500
56.105.80.65	296
56.107.168.164	372
56.112.19.237	387
56.122.201.182	456
56.123.150.104	289
56.127.236.229	455
56.137.207.159	365
56.140.223.83	525
56.147.29.1	363
56.151.88.37	763
56.153.9.179	376
56.155.2.42	581
56.156.202.125	331
56.164.172.185	497
56.175.215.124	392
56.176.124.173	378
56.185.19.118	250
56.185.242.139	437
56.188.234.32	280
56.189.72.137	257
56.190.29.254	220
56.192.63.150	295
56.196.180.226	331
56.201.246.148	348
56.208.153.9	510
56.214.76.91	402
56.222.97.66	325
56.229.116.156	526
56.252.64.182	289
56.253.5.146	253
57.2.104.204	370
57.3.162.49	627
57.3.166.193	466
57.9.23.189	186
57.9.115.77	263
57.9.196.190	361
57.10.83.51	312
57.15.17.190	440
57.17.128.178	330
57.18.211.20	475
57.25.251.11	373
57.26.248.126	256
57.27.233.16	342
57.29.253.177	374
57.32.115.219	335
57.33.43.201	218
57.33.96.172	340
57.38.116.80	320
57.39.228.56	318
57.42.37.109	290
57.48.22.175	556
57.48.190.103	208
57.53.6.39	415
57.55.21.146	489
57.56.12.234	398
57.62.101.77	576
57.65.162.87	420
57.70.243.5	317
57.73.136.43	407
57.82.136.107	343
57.85.39.126	301
57.87.109.209	331
57.90.34.55	370
57.93.137.63	533
57.94.44.16	262
57.94.105.56	208
57.95.39.21	480
57.96.89.132	344
57.102.103.98	321
57.102.162.15	206
57.117.110.174	254
57.118.199.187	142
57.124.25.224	332
57.125.59.47	348
57.128.10.245	361
57.132.25.116	430
57.133.234.230	316
57.134.210.237	377
57.140.117.60	363
57.146.170.237	360
57.148.25.175	237
57.148.178.185	600
57.154.223.50	475
57.159.225.16	423
57.169.125.38	361
57.177.143.224	375
57.180.193.56	386
57.183.62.184	367
57.183.200.214	333
57.191.29.150	416
57.192.137.215	451
57.198.67.175	362
57.201.145.184	211
57.202.65.148	345
57.207.227.243	306
57.216.186.99	356
57.218.133.76	378
57.218.200.196	394
57.220.103.184	334
57.231.248.128	367
57.232.26.113	404
57.235.177.159	330
57.237.25.36	428
57.237.99.68	361
57.239.46.162	214
57.246.222.83	239
57.247.155.159	262
57.249.219.106	170
57.251.25.222	309
58.4.191.238	514
58.8.163.7	317
58.12.161.42	316
58.20.59.77	543
58.25.124.83	387
58.27.210.164	357
58.28.23.9	345
58.49.176.90	357
58.50.199.157	367
58.54.154.129	360
58.59.214.254	366
58.101.40.140	342
58.102.246.42	269
58.103.160.44	409
58.112.216.221	453
58.118.142.180	334
58.123.146.246	541
58.133.251.71	282
58.148.76.231	275
58.150.117.187	285
58.152.91.249	367
58.153.1.17	380
58.156.119.121	319
58.161.139.9	307
58.161.197.22	445
58.163.180.103	421
58.164.75.151	404
58.169.165.148	398
58.171.32.26	369
58.173.38.146	383
58.174.168.16	483
58.181.44.152	348
58.197.80.156	333
58.200.152.83	312
58.204.233.187	377
58.206.195.201	605
58.215.92.93	334
58.224.97.132	389
58.229.85.99	576
58.230.174.119	327
58.232.36.4	521
58.233.248.98	318
58.235.182.24	443
58.241.86.104	430
58.249.195.100	360
59.5.54.131	399
59.11.188.111	544
59.13.61.54	530
59.26.121.120	389
59.30.104.120	377
59.31.43.146	641
59.39.9.149	422
59.42.57.1	316
59.51.5.23	309
59.53.209.104	328
59.55.234.225	479
59.56.17.194	365
59.56.53.58	419
59.58.55.76	358
59.58.130.164	299
59.59.139.233	386
59.74.25.163	214
59.76.120.4	256
59.77.227.191	262
59.82.242.109	246
59.85.154.89	507
59.90.14.87	407
59.90.141.161	288
59.94.212.118	360
59.97.11.80	490
59.101.43.188	395
59.105.250.88	348
59.113.54.48	333
59.114.57.203	239
59.115.211.238	326
59.118.59.188	300
59.120.185.83	298
59.127.101.21	311
59.129.87.246	325
59.135.198.189	288
59.139.3.174	307
59.139.191.88	308
59.141.89.192	305
59.154.53.11	606
59.161.67.235	272
59.161.195.181	193
59.163.121.128	432
59.165.33.239	417
59.166.108.42	307
59.173.200.162	433
59.178.19.217	365
59.200.79.123	348
59.209.35.192	432
59.210.86.159	509
59.210.134.229	373
59.216.110.5	324
59.219.5.246	363
59.219.62.39	374
59.225.141.25	378
59.231.55.73	391
59.234.254.125	393
59.239.203.78	303
59.245.238.161	357
59.251.102.31	322
59.253.27.110	351
60.2.102.75	364
60.3.53.109	338
60.14.173.9	222
60.15.97.45	394
60.20.91.46	274
60.22.6.250	372
60.22.143.5	345
60.26.106.245	457
60.26.192.66	256
60.32.8.252	307
60.32.15.157	314
60.34.232.229	601
60.47.20.167	461
60.49.69.55	374
60.51.217.71	330
60.54.152.179	259
60.69.101.146	489
60.71.1.127	434
60.72.178.240	336
60.76.148.71	224
60.79.121.46	444
60.82.4.50	415
60.83.115.182	371
60.84.20.38	340
60.86.248.214	393
60.89.102.15	233
60.94.138.219	396
60.100.150.209	287
60.101.181.6	339
60.112.190.167	291
60.113.2.172	250
60.117.204.7	309
60.118.235.17	386
60.129.182.95	354
60.131.73.230	318
60.133.127.70	245
60.156.42.153	373
60.159.25.124	337
60.166.133.31	237
60.168.120.15	341
60.190.34.176	461
60.191.57.26	434
60.202.46.50	273
60.208.64.250	549
60.212.38.86	311
60.215.254.14	507
60.229.104.4	310
60.232.83.14	274
60.239.117.254	310
60.248.169.105	365
60.254.49.208	233
61.5.139.100	295
61.8.26.6	323
61.13.203.17	351
61.18.245.140	459
61.26.156.242	374
61.26.183.71	363
61.27.171.180	374
61.31.133.149	524
61.38.36.27	448
61.38.244.147	442
61.41.194.169	401
61.42.150.138	280
61.49.15.102	406
61.51.16.198	393
61.59.97.226	403
61.62.173.104	387
61.67.130.172	316
61.67.229.12	305
61.68.121.176	337
61.74.12.221	446
61.77.173.17	563
61.78.95.72	340
61.91.31.162	259
61.96.124.188	298
61.96.205.200	280
61.105.107.156	253
61.111.245.128	321
61.113.45.99	484
61.113.217.54	330
61.120.126.116	302
61.120.191.180	417
61.121.92.196	426
61.131.117.237	367
61.134.58.25	336
61.140.98.167	559
61.142.7.67	434
61.149.166.1	319
61.150.250.150	378
61.155.107.55	260
61.156.12.208	269
61.159.225.15	272
61.163.98.238	326
61.168.52.231	233
61.168.79.232	391
61.171.234.138	325
61.173.227.135	347
61.174.84.64	148
61.180.179.81	361
61.182.155.95	434
61.183.100.58	401
61.183.175.176	274
61.186.125.111	299
61.192.242.135	342
61.194.83.241	341
61.200.143.17	539
61.200.221.49	397
61.207.236.146	336
61.211.226.140	309
61.212.146.79	450
61.218.103.42	367
61.229.117.177	253
61.229.210.156	437
61.231.14.144	341
61.231.117.184	211
61.238.189.218	395
61.240.66.134	418
61.244.171.10	259
61.246.177.223	437
61.247.236.52	365
61.251.242.193	295
62.6.214.218	370
62.12.95.30	285
62.18.203.247	146
62.20.81.148	546
62.22.117.124	377
62.35.191.88	571
62.43.94.208	443
62.46.165.160	260
62.52.213.69	378
62.52.226.106	425
62.54.236.215	318
62.56.246.219	371
62.73.206.115	511
62.75.82.84	338
62.75.154.87	456
62.76.79.16	349
62.83.128.212	340
62.84.22.238	298
62.84.68.51	311
62.91.131.83	354
62.92.193.79	363
62.95.247.118	460
62.97.62.94	311
62.102.8.68	340
62.106.112.196	299
62.115.30.175	435
62.115.167.9	307
62.123.17.6	265
62.123.18.236	268
62.134.72.85	385
62.143.66.30	381
62.169.210.196	407
62.181.116.116	461
62.187.157.203	318
62.194.165.138	331
62.201.151.31	441
62.208.18.220	441
62.208.21.209	575
62.210.164.16	355
62.214.32.116	369
62.214.215.81	344
62.218.115.185	525
62.219.239.25	430
62.222.105.192	324
62.222.141.89	347
62.232.219.91	393
62.251.7.170	290
62.251.55.246	295
62.254.42.6	188
63.6.149.29	529
63.8.144.106	207
63.12.11.177	364
63.16.103.11	431
63.17.98.105	260
63.24.243.11	334
63.25.79.156	375
63.25.131.50	418
63.26.1.155	615
63.27.28.57	305
63.27.58.87	448
63.28.154.246	291
63.31.67.2	306
63.33.190.212	491
63.33.215.28	314
63.38.78.107	490
63.38.106.54	299
63.58.224.208	413
63.59.118.41	311
63.64.172.234	218
63.68.182.128	199
63.72.52.52	297
63.79.5.12	449
63.81.89.20	431
63.86.151.193	469
63.92.242.35	344
63.94.73.142	360
63.100.176.14	312
63.103.162.203	392
63.103.236.109	386
63.105.111.252	291
63.107.16.82	543
63.109.20.141	364
63.119.161.85	450
63.120.106.10	275
63.120.158.79	289
63.122.129.224	248
63.123.62.53	378
63.125.40.39	451
63.135.49.9	266
63.137.87.12	343
63.139.192.239	374
63.141.64.180	345
63.141.113.60	279
63.143.95.221	311
63.145.16.224	374
63.146.21.96	401
63.150.132.28	327
63.150.180.112	374
63.163.190.176	358
63.171.7.38	252
63.174.14.37	283
63.183.174.39	253
63.187.148.96	562
63.191.202.247	333
63.197.192.81	383
63.200.10.36	283
63.203.126.200	446
63.203.130.69	204
63.209.156.144	355
63.211.184.84	322
63.213.247.108	556
63.215.202.254	335
63.219.119.109	311
63.223.59.85	278
63.230.65.91	294
63.236.244.254	481
63.240.206.115	320
63.245.254.18	304
63.247.5.145	370
63.254.75.244	306
64.2.221.42	278
64.4.160.231	282
64.6.128.87	421
64.11.156.218	318
64.30.95.222	394
64.34.241.155	374
64.38.136.1	275
64.38.140.80	322
64.40.150.107	255
64.42.191.142	490
64.45.68.28	387
64.48.125.254	331
64.49.226.104	235
64.52.248.237	414
64.57.13.121	373
64.64.94.192	317
64.65.27.99	392
64.66.100.160	434
64.75.33.105	356
64.77.91.132	369
64.79.88.159	327
64.83.250.5	289
64.86.231.58	321
64.88.21.81	493
64.95.76.189	734
64.100.66.220	570
64.114.181.171	290
64.121.131.248	397
64.126.176.63	439
64.135.19.183	487
64.139.137.189	365
64.146.174.145	337
64.154.86.234	402
64.161.243.129	309
64.162.25.114	364
64.167.52.229	380
64.178.43.111	227
64.178.227.70	369
64.188.12.253	380
64.196.42.226	355
64.197.181.113	245
64.198.147.126	393
64.208.44.130	394
64.212.25.118	179
64.216.207.22	386
64.217.114.196	399
64.217.173.82	444
64.220.154.146	379
64.220.234.98	533
64.227.56.249	360
64.231.90.143	374
64.239.4.134	397
64.241.205.38	280
64.245.30.163	264
64.248.86.230	250
64.254.28.111	377
65.10.126.56	417
65.23.64.127	352
65.42.54.209	224
65.42.161.171	455
65.57.18.239	402
65.58.143.112	458
65.60.120.39	315
65.64.45.82	351
65.66.163.242	278
65.67.210.245	331
65.72.67.227	349
65.78.147.204	371
65.78.236.245	438
65.79.39.227	187
65.81.35.121	360
65.83.127.224	328
65.92.81.220	255
65.98.228.34	296
65.106.74.166	498
65.108.128.39	462
65.110.119.85	355
65.121.192.174	500
65.122.166.179	445
65.122.248.58	479
65.123.62.52	399
65.126.16.59	380
65.127.66.186	323
65.128.209.117	435
65.134.26.166	321
65.139.202.193	349
65.147.166.232	324
65.148.60.242	489
65.151.122.26	310
65.153.49.115	398
65.154.64.186	387
65.164.22.32	345
65.165.50.196	308
65.166.160.26	361
65.169.49.117	450
65.185.184.46	334
65.189.151.207	311
65.191.138.199	339
65.200.234.16	380
65.208.159.96	426
65.211.24.63	325
65.211.118.65	309
65.211.232.185	425
65.222.45.50	323
65.222.214.136	359
65.239.228.77	273
65.240.187.240	364
65.252.254.234	374
66.5.99.34	540
66.5.237.46	253
66.13.238.74	306
66.15.81.9	337
66.16.163.78	355
66.22.24.114	382
66.24.242.110	206
66.25.160.214	363
66.38.198.209	449
66.39.59.71	269
66.43.151.138	417
66.47.26.112	380
66.56.122.108	512
66.58.73.167	274
66.59.248.190	391
66.61.114.232	295
66.61.118.12	122
66.65.134.87	381
66.68.246.183	414
66.86.121.39	166
66.88.206.220	413
66.90.78.66	511
66.100.235.52	280
66.101.165.183	289
66.106.190.189	345
66.108.33.217	302
66.112.16.59	336
66.124.123.26	288
66.144.124.172	343
66.148.104.209	368
66.152.78.196	458
66.157.166.169	309
66.164.39.24	400
66.164.88.51	406
66.166.117.144	310
66.167.198.201	264
66.174.94.24	211
66.175.41.28	410
66.176.30.250	382
66.179.172.50	394
66.182.186.60	314
66.195.226.195	446
66.201.223.252	363
66.209.117.92	261
66.210.65.251	213
66.210.225.119	187
66.212.149.142	488
66.214.237.38	334
66.222.253.152	240
66.227.184.132	355
66.229.48.147	392
66.247.213.221	398
66.251.159.206	389
66.253.110.249	228
67.2.179.29	484
67.3.165.242	488
67.4.118.149	419
67.6.204.120	231
67.9.75.5	616
67.12.51.120	283
67.25.62.171	347
67.34.238.229	512
67.36.2.166	342
67.39.22.36	395
67.40.34.113	301
67.40.104.35	379
67.42.240.22	371
67.47.242.249	228
67.66.177.63	367
67.68.68.148	318
67.72.233.74	347
67.74.98.148	298
67.84.83.92	265
67.88.70.38	328
67.90.249.226	394
67.97.167.217	336
67.106.136.23	486
67.117.193.53	404
67.118.104.116	272
67.125.199.54	363
67.129.30.16	304
67.161.159.138	350
67.177.124.141	525
67.179.116.1	354
67.183.147.5	522
67.186.129.62	325
67.200.53.77	385
67.201.65.202	411
67.213.238.192	446
67.217.239.32	280
67.219.98.207	390
67.223.242.190	222
67.225.112.38	405
67.243.135.19	367
67.246.168.31	319
67.247.17.115	327
67.248.81.107	292
67.251.49.87	461
67.254.87.109	498
68.1.9.46	287
68.1.141.123	320
68.12.76.174	207
68.14.27.130	469
68.15.138.153	359
68.20.208.203	263
68.23.83.38	280
68.26.101.230	303
68.27.227.63	537
68.31.160.122	359
68.32.58.144	492
68.36.125.163	344
68.38.48.219	282
68.42.143.91	304
68.43.25.226	280
68.44.3.145	254
68.46.146.26	557
68.88.143.53	310
68.90.16.89	340
68.91.162.141	344
68.109.142.128	191
68.110.208.41	445
68.119.169.52	283
68.120.69.168	314
68.121.138.233	350
68.145.125.110	260
68.149.86.45	431
68.151.157.53	294
68.152.6.57	398
68.153.29.206	371
68.157.107.8	502
68.160.104.243	355
68.162.79.199	372
68.163.31.198	443
68.178.161.252	338
68.178.174.242	548
68.191.74.31	422
68.209.212.127	278
68.217.76.25	354
68.220.19.52	297
68.221.240.30	378
68.223.194.169	468
68.230.51.175	685
68.244.120.59	421
68.247.46.225	248
68.254.160.219	273
68.254.235.185	363
69.3.246.14	418
69.16.136.206	714
69.18.130.192	394
69.18.188.189	455
69.19.93.153	432
69.27.148.147	305
69.27.173.10	282
69.33.151.3	584
69.34.150.77	397
69.35.145.74	652
69.38.122.149	342
69.41.209.192	254
69.43.34.135	329
69.54.25.17	405
69.56.192.242	349
69.64.112.103	348
69.66.69.232	543
69.70.84.80	360
69.72.161.150	307
69.76.146.202	142
69.78.87.111	437
69.79.201.37	475
69.86.155.93	445
69.87.148.63	356
69.90.4.249	286
69.92.219.185	495
69.97.75.135	390
69.97.214.146	480
69.103.215.248	341
69.109.56.201	141
69.110.194.68	366
69.112.207.12	193
69.114.115.239	655
69.124.211.244	446
69.131.144.44	449
69.135.86.197	268
69.139.201.67	262
69.141.64.66	221
69.142.202.112	428
69.144.75.2	317
69.145.13.4	412
69.153.178.14	314
69.163.221.89	177
69.170.84.221	377
69.174.65.128	279
69.179.31.165	275
69.179.197.197	412
69.182.189.42	414
69.196.2.52	330
69.211.18.169	432
69.213.61.120	497
69.213.128.237	275
69.215.154.247	462
69.216.5.211	315
69.223.84.63	332
69.234.108.80	367
69.235.106.121	288
69.237.109.75	548
69.240.74.150	369
69.244.115.175	308
69.246.221.73	359
69.247.236.134	404
69.248.136.163	396
70.3.180.204	325
70.21.20.223	370
70.22.162.3	378
70.26.200.208	755
70.30.25.169	345
70.45.99.5	377
70.49.218.233	364
70.51.254.78	242
70.143.39.159	268
70.143.177.143	408
70.144.162.158	307
70.149.144.193	452
70.151.71.113	380
70.152.57.142	376
70.153.111.236	428
70.158.243.234	541
70.160.54.148	323
70.161.55.180	515
70.162.185.91	415
70.164.65.11	400
70.166.204.110	261
70.168.167.241	267
70.180.145.181	329
70.186.49.183	450
70.193.82.130	339
70.194.112.91	282
70.194.232.92	356
70.199.8.67	333
70.209.127.2	287
70.216.136.234	286
70.217.188.125	318
70.217.188.193	356
70.219.172.119	288
70.219.199.17	449
70.220.179.163	380
70.224.33.47	200
70.231.88.77	197
70.233.156.223	416
70.234.70.172	454
70.238.188.87	536
70.239.71.241	381
70.240.51.134	376
70.240.136.218	344
70.244.246.251	398
70.253.250.55	325
71.2.104.149	289
71.7.45.153	287
71.17.208.250	366
71.18.35.172	397
71.19.60.147	347
71.20.12.116	504
71.23.118.68	223
71.39.57.115	222
71.41.254.197	335
71.63.7.132	270
71.63.211.85	382
71.66.161.213	230
71.68.28.30	352
71.75.51.99	396
71.77.232.140	323
71.85.167.36	349
71.85.245.221	349
71.86.205.137	405
71.88.27.241	237
71.93.86.57	308
71.97.238.199	315
71.100.27.115	261
71.100.174.231	328
71.106.93.239	444
71.109.96.145	425
71.110.248.101	450
71.112.164.177	487
71.112.167.155	551
71.115.150.188	394
71.117.103.18	225
71.129.150.40	408
71.132.78.174	341
71.135.111.207	377
71.146.99.226	396
71.155.13.238	262
71.156.2.1	243
71.157.12.134	527
71.164.134.129	300
71.165.70.212	330
71.166.187.166	323
71.173.206.217	348
71.176.79.193	507
71.184.129.192	471
71.190.177.11	287
71.197.195.108	411
71.211.203.191	544
71.212.234.92	401
71.213.40.17	335
71.213.150.114	308
71.216.168.165	490
71.222.210.197	411
71.229.220.250	337
71.230.96.248	386
71.231.64.253	446
71.237.109.221	424
71.240.180.175	306
71.252.203.121	403
72.3.110.247	275
72.11.143.119	349
72.12.173.240	136
72.14.171.46	265
72.15.97.175	356
72.18.39.41	245
72.18.198.244	246
72.22.122.164	310
72.34.185.253	314
72.37.40.81	358
72.58.12.252	330
72.59.213.55	378
72.61.41.204	352
72.66.180.4	531
72.67.132.84	381
72.68.237.14	374
72.70.196.183	240
72.71.216.92	292
72.74.23.222	414
72.84.139.75	314
72.90.171.150	396
72.111.111.166	265
72.113.212.78	375
72.115.144.127	334
72.132.189.169	447
72.145.99.207	311
72.146.102.92	269
72.149.250.48	627
72.153.226.32	409
72.159.145.188	432
72.176.155.111	523
72.181.189.62	336
72.193.76.37	493
72.199.122.223	509
72.201.91.164	567
72.201.144.246	421
72.211.189.123	310
72.214.195.151	238
72.226.198.77	311
72.229.122.17	351
72.231.170.134	428
73.7.176.67	430
73.14.50.92	314
73.19.175.3	433
73.23.198.142	393
73.32.97.140	395
73.35.76.111	216
73.36.217.168	387
73.42.111.183	394
73.42.179.139	306
73.44.7.186	212
73.44.95.248	364
73.47.13.36	514
73.48.204.194	296
73.61.59.192	293
73.64.177.185	311
73.70.2.172	345
73.82.236.177	489
73.84.62.19	349
73.84.187.189	373
73.87.51.93	212
73.89.221.25	354
73.92.158.211	162
73.95.17.31	337
73.101.57.111	115
73.104.145.131	347
73.108.216.218	223
73.111.43.108	369
73.124.9.231	412
73.125.36.197	243
73.139.235.246	449
73.144.27.97	365
73.150.105.172	235
73.151.59.5	496
73.155.236.236	328
73.159.126.169	270
73.160.48.189	217
73.161.60.82	299
73.162.165.133	241
73.163.198.165	417
73.166.57.57	295
73.178.80.223	233
73.181.149.23	590
73.190.34.148	497
73.196.146.35	269
73.200.9.243	344
73.203.172.122	389
73.217.213.58	371
73.222.220.52	275
73.227.119.242	230
73.227.239.30	235
73.229.150.253	496
73.236.17.163	374
73.238.16.158	521
73.238.215.235	334
73.254.197.26	410
74.2.186.139	364
74.6.144.178	333
74.19.211.230	349
74.22.148.233	425
74.22.192.34	355
74.23.20.95	295
74.23.175.189	543
74.23.239.11	509
74.37.16.80	308
74.41.93.234	450
74.60.64.251	327
74.62.126.154	185
74.80.110.250	440
74.86.14.41	474
74.88.229.206	517
74.92.215.95	394
74.93.123.8	238
74.100.175.14	339
74.101.61.24	247
74.103.216.157	573
74.108.18.84	323
74.108.251.254	294
74.111.99.54	283
74.112.242.111	507
74.114.179.54	323
74.115.195.250	315
74.121.167.163	376
74.123.69.186	479
74.124.49.219	457
74.131.53.121	273
74.131.148.115	407
74.138.179.171	391
74.141.167.246	475
74.142.115.154	377
74.144.8.161	327
74.144.195.10	376
74.147.206.44	331
74.155.220.117	372
74.157.176.44	390
74.158.43.184	293
74.163.227.28	313
74.166.227.166	345
74.167.90.4	375
74.178.59.89	469
74.180.58.98	456
74.187.81.167	252
74.210.202.121	282
74.221.54.1	470
74.222.225.115	431
74.226.166.95	443
74.228.96.215	353
74.230.190.247	509
74.233.128.251	413
74.242.147.13	503
75.1.143.97	384
75.7.29.67	314
75.15.61.125	412
75.16.25.193	382
75.17.191.245	379
75.21.243.56	324
75.35.17.109	244
75.43.87.127	362
75.44.164.127	373
75.70.59.144	341
75.75.148.235	337
75.76.198.230	337
75.79.72.72	347
75.97.106.227	360
75.98.92.183	328
75.102.214.20	342
75.105.57.65	271
75.107.130.66	352
75.109.140.34	435
75.112.83.145	515
75.122.246.110	436
75.124.134.6	381
75.125.46.1	440
75.125.84.123	317
75.127.8.98	275
75.138.200.200	339
75.141.27.37	405
75.141.197.90	332
75.142.3.235	469
75.142.169.240	379
75.145.48.92	353
75.147.178.95	355
75.149.100.166	479
75.157.85.247	420
75.160.127.155	538
75.181.205.192	274
75.183.31.8	501
75.187.29.81	428
75.189.231.253	318
75.200.148.211	305
75.200.208.49	351
75.202.99.204	325
75.206.189.39	198
75.207.23.2	332
75.208.238.89	462
75.212.15.71	383
75.213.171.28	364
75.223.250.168	401
75.224.121.184	318
75.225.225.4	408
75.235.204.144	429
75.237.32.220	385
75.237.46.166	371
75.238.38.173	274
75.239.237.233	320
75.249.175.215	391
75.252.69.138	255
76.12.19.229	365
76.16.73.202	414
76.19.180.239	340
76.30.63.105	642
76.30.197.158	378
76.32.92.251	425
76.32.111.72	244
76.33.233.168	392
76.37.140.180	282
76.39.118.159	393
76.41.68.130	233
76.44.168.9	365
76.44.231.106	284
76.45.88.47	296
76.56.100.89	329
76.64.218.44	258
76.75.115.27	223
76.89.191.73	363
76.90.231.70	707
76.91.71.240	431
76.91.86.104	217
76.112.25.44	307
76.116.214.126	249
76.124.239.197	414
76.127.126.236	338
76.133.246.53	389
76.135.98.144	347
76.151.219.205	409
76.152.88.62	299
76.156.24.121	348
76.161.117.83	370
76.162.236.8	440
76.164.226.6	356
76.166.148.44	335
76.168.59.122	341
76.169.167.32	351
76.170.153.8	295
76.174.87.143	321
76.179.32.192	444
76.182.97.135	318
76.186.169.117	334
76.187.136.113	323
76.200.234.52	190
76.218.44.130	300
76.224.152.238	309
76.230.253.220	279
76.232.188.154	637
76.233.230.110	375
76.246.235.164	375
76.254.95.54	297
77.1.142.252	393
77.8.73.176	406
77.12.227.148	349
77.13.31.162	317
77.20.229.190	293
77.27.137.48	366
77.37.19.189	608
77.46.40.134	296
77.50.12.139	402
77.56.178.252	321
77.57.18.174	396
77.58.224.121	328
77.59.90.171	301
77.60.43.47	263
77.62.243.95	220
77.64.128.238	321
77.68.68.112	366
77.69.90.35	455
77.75.177.12	355
77.79.14.141	328
77.83.206.147	361
77.87.53.182	295
77.94.42.172	368
77.96.18.237	389
77.97.119.98	486
77.97.254.195	317
77.98.186.117	291
77.105.8.52	499
77.112.186.231	275
77.114.2.69	488
77.114.85.11	254
77.116.175.47	447
77.120.209.38	389
77.132.136.187	273
77.144.45.83	426
77.151.60.247	433
77.153.24.73	293
77.154.63.38	432
77.157.19.203	392
77.157.40.118	423
77.158.143.232	357
77.162.108.112	434
77.168.60.178	270
77.175.176.122	340
77.192.165.188	338
77.192.205.33	344
77.197.166.50	341
77.204.70.253	297
77.207.181.1	441
77.245.85.170	356
77.245.129.248	233
77.246.134.225	293
77.248.240.24	225
78.4.151.11	282
78.5.46.161	357
78.13.119.191	469
78.25.120.177	351
78.27.112.157	357
78.28.125.129	263
78.37.238.189	384
78.40.241.195	223
78.50.203.4	368
78.51.176.111	260
78.53.238.70	321
78.55.76.96	426
78.55.222.252	547
